"category_id","category_name","category_color"
"1","Almuerzos","#d63384"
"2","Bebidas","#0dcaf0"
"3","Desayunos","#fd7e14"
"4","Postres","#0d6efd"
"5","Servicios","#dc3545"
"item_id","item_name","item_category","item_uni_metric","item_count","item_create","item_status"
"35","Zanahoria","3","2","10","2023-01-20 05:00:43","1"
"36","Remolacha","3","2","0","2022-12-21 12:35:33","1"
"37","Limón","11","2","0","2022-12-21 12:38:32","1"
"38","Fresa","11","2","0","2022-12-21 12:39:21","1"
"39","Parchita","11","2","0","2022-12-21 12:40:06","1"
"40","Guayaba","11","2","0","2022-12-21 12:40:28","1"
"41","Melón","11","2","2","2023-01-30 05:03:12","1"
"42","Lechosa ","11","2","0","2022-12-21 12:41:12","1"
"43","Bicarbonato","2","2","0","2022-12-21 12:41:53","1"
"44","Clavitos de Olor","2","2","0","2022-12-21 12:42:46","1"
"45","Canela","2","2","0","2022-12-21 12:43:11","1"
"46","Arvejas","2","2","0","2022-12-21 12:43:50","1"
"47","Caraotas Negras","2","2","4","2023-02-06 19:55:34","1"
"48","Caraotas Rojas","2","2","0","2023-01-02 11:56:35","1"
"49","Caraotas Blancas","2","2","0","2023-01-30 06:42:18","1"
"50","Pan de Hamburguesa","2","3","15","2023-01-26 12:07:34","1"
"51","Cerveza Polar","8","3","0","2022-12-21 12:47:23","1"
"52","Cerveza Polar light","8","3","20","2023-01-25 01:10:47","1"
"53","Cerveza Solera","8","3","0","2022-12-21 12:48:30","1"
"54","Agua Mineral 250ml","9","3","0","2022-12-21 12:49:10","1"
"55","Agua Mineral 500ml","9","3","0","2022-12-21 12:49:51","1"
"56","Malta 500ml","9","3","0","2022-12-21 12:50:29","1"
"57","Pepsi","9","1","2","2023-02-02 16:52:30","1"
"58","SevenUp","9","1","0","2022-12-21 12:51:14","1"
"59","Frescolita","9","1","0","2022-12-21 12:51:26","1"
"60","Jugo de Papelón","9","1","0","2022-12-21 12:52:26","1"
"61","Milanesa","5","3","0","2022-12-21 02:20:18","1"
"62","Picadillo","5","2","0.07","2023-01-25 10:20:16","1"
"63","Pieza para Parrilla","5","3","0","2022-12-21 02:23:31","1"
"64","Gallina","5","3","12","2023-01-22 12:06:17","1"
"65","Solomo","4","5","0","2023-01-12 04:14:14","1"
"66","Chorizo","4","3","3","2023-01-21 08:48:52","1"
"67","Molida","4","2","0","2022-12-21 02:28:44","1"
"68","Falda de Res","4","2","0","2022-12-21 05:43:11","1"
"69","Costilla de Res","4","2","0","2022-12-21 02:29:30","1"
"70","Costilla de Cochino","4","2","0","2022-12-21 02:29:43","1"
"71","Pulpa de Cochino","4","2","0","2022-12-21 02:30:35","1"
"72","Falda de Cochino","4","2","0","2022-12-21 02:31:15","1"
"73","Muchacho Redondo","4","2","0","2022-12-21 02:32:50","1"
"74","Bisteck de Res","4","2","0","2022-12-21 05:42:25","1"
"75","Chuleta de Pernil","4","2","0","2022-12-21 02:33:38","1"
"76","Chuleta de Res","4","2","0","2022-12-21 02:33:50","1"
"77","Chuleta de Cochino","4","2","0","2022-12-21 02:34:03","1"
"78","Chuleta Ahumada","4","2","0","2022-12-21 02:34:21","1"
"79","Tocineta","4","2","0","2022-12-21 02:34:34","1"
"80","Queso Blanco SemiDuro","2","2","0.04","2023-02-06 23:57:27","1"
"81","Queso Parmesano","2","2","2","2023-01-26 11:16:13","1"
"82","Mora","11","2","0","2022-12-21 02:37:55","1"
"83","Naranja","11","2","0","2022-12-21 02:38:06","1"
"92","Pollo Entero","0","0","0","2023-01-31 18:37:03","1"
"93","Pollo Entero2","0","0","0","2023-01-31 18:39:14","1"
"101","Refresco Pepsi 500ml","9","1","48","2023-02-02 16:53:16","1"
"category_id","category_name","category_color","category_ingredient"
"1","Productos de Limpieza","#0dcaf0","0"
"2","Víveres","#ffc107","1"
"3","Hortalizas","#8bc34a","1"
"4","Carnes","#e91e63","1"
"5","Pollo","#ffeb3b","1"
"6","Pescados","#ff9800","1"
"7","Mobiliario","#673ab7","0"
"8","Bebidas Alcohólicas ","#009688","1"
"9","Bebidas No Alcohólicas","#3f51b5","1"
"11","Frutas","#85b6ff","1"
"operation_id","operation_type","operation_item_id","operation_category","operation_unit","operation_count","operation_date"
"unit_id","unit_name","unit_type"
"1","Litros","Lts"
"2","Kilogramos","Kg"
"3","Unidad","Unidad"
"4","Caja","Caja"
"5","Pieza","Piezas"
"6","Porción","Porción"
"order_id","facturationNumber","controlNumber","order_table_id","order_personal_document","order_list_inventary","order_create","order_done","order_status","client_document","client_name","client_address","client_phone_number","order_price_dolar","order_percent_iva","subtotal","totalfinal"
"1","50001","00-00050001","4","181117948","[{""product_id"":""3acaa2c1-0cc9-4951-aed9-e80346"",""product"":{""product_id"":""3acaa2c1-0cc9-4951-aed9-e80346"",""product_name"":""Chocolate"",""product_description"":""Chocolate 100ml"",""product_base_price"":18,""product_category"":2,""product_items"":[{""item_id"":13,""item_count"":0.02},{""item_id"":4,""item_count"":0.13},{""item_id"":11,""item_count"":0.01}],""product_photo"":""http://localhost:8080/hrestbackend/api/images/productos/c2a5a5c4-e32a-470f-9c02-66f9b6172949.png"",""product_photo_thumb"":"""",""product_status"":1},""product_count"":2,""product_items"":[{""item_id"":13,""item_count"":0.02},{""item_id"":4,""item_count"":0.13},{""item_id"":11,""item_count"":0.01}]}]","2023-02-01 13:07:19","2022-10-12 18:43:18","1","NO CI NO RIF","CLIENTE GENERICO","NO APLICA","NO APLICA","21.81","16","36","36.576"
"2","50002","00-00050002","4","181117948","[{""product_id"":""3acaa2c1-0cc9-4951-aed9-e80346"",""product"":{""product_id"":""3acaa2c1-0cc9-4951-aed9-e80346"",""product_name"":""Chocolate"",""product_description"":""Chocolate 100ml"",""product_base_price"":18,""product_category"":2,""product_items"":[{""item_id"":13,""item_count"":0.02},{""item_id"":4,""item_count"":0.13},{""item_id"":11,""item_count"":0.01}],""product_photo"":""http://localhost:8080/hrestbackend/api/images/productos/c2a5a5c4-e32a-470f-9c02-66f9b6172949.png"",""product_photo_thumb"":"""",""product_status"":1},""product_count"":1,""product_items"":[{""item_id"":13,""item_count"":0.02},{""item_id"":4,""item_count"":0.13},{""item_id"":11,""item_count"":0.01}]}]","2023-02-01 13:10:55","2023-01-02 13:11:07","1","NO CI NO RIF","CLIENTE GENERICO","NO APLICA","NO APLICA","21.81","16","18","18.288"
"3","50003","00-00050003","3","181117948","[{""product_id"":""bf9c97b9-e203-421a-aae3-13496d"",""product"":{""product_id"":""bf9c97b9-e203-421a-aae3-13496d"",""product_name"":""Papas Fritas"",""product_description"":""Servicio de papas fritas de aproximadamente 500 gramos"",""product_base_price"":202,""product_category"":5,""product_items"":[{""item_id"":30,""item_count"":0.5}],""product_photo"":""http://localhost:8080/hrestbackend/api/images/productos/a4ae9425-a370-4516-ba51-2f3ce8a4bba9.jpg"",""product_photo_thumb"":"""",""product_status"":1},""product_count"":3,""product_items"":[{""item_id"":30,""item_count"":0.5}]}]","2023-02-01 13:16:29","2022-12-01 13:16:29","1","NO CI NO RIF","CLIENTE GENERICO","NO APLICA","NO APLICA","21.81","16","606","615.696"
"4","50004","00-00050004","3","22665281","[{""product_id"":""3acaa2c1-0cc9-4951-aed9-e80346"",""product"":{""product_id"":""3acaa2c1-0cc9-4951-aed9-e80346"",""product_name"":""Chocolate"",""product_description"":""Chocolate 100ml"",""product_base_price"":18,""product_category"":2,""product_items"":[{""item_id"":13,""item_count"":0.02},{""item_id"":4,""item_count"":0.13},{""item_id"":11,""item_count"":0.01}],""product_photo"":""http://localhost:8080/hrestbackend/api/images/productos/c2a5a5c4-e32a-470f-9c02-66f9b6172949.png"",""product_photo_thumb"":"""",""product_status"":1},""product_count"":1,""product_items"":[{""item_id"":13,""item_count"":0.02},{""item_id"":4,""item_count"":0.13},{""item_id"":11,""item_count"":0.01}]}]","2023-02-01 13:16:42","2023-02-01 13:16:48","1","NO CI NO RIF","CLIENTE GENERICO","NO APLICA","NO APLICA","21.81","16","18","18.288"
"5","50005","00-00050005","3","22665281","[{""product_id"":""3acaa2c1-0cc9-4951-aed9-e80346"",""product"":{""product_id"":""3acaa2c1-0cc9-4951-aed9-e80346"",""product_name"":""Chocolate"",""product_description"":""Chocolate 100ml"",""product_base_price"":18,""product_category"":2,""product_items"":[{""item_id"":13,""item_count"":0.02},{""item_id"":4,""item_count"":0.13},{""item_id"":11,""item_count"":0.01}],""product_photo"":""http://localhost:8080/hrestbackend/api/images/productos/c2a5a5c4-e32a-470f-9c02-66f9b6172949.png"",""product_photo_thumb"":"""",""product_status"":1},""product_count"":1,""product_items"":[{""item_id"":13,""item_count"":0.02},{""item_id"":4,""item_count"":0.13},{""item_id"":11,""item_count"":0.01}]}]","2023-02-01 13:31:52","2022-11-01 13:31:52","1","NO CI NO RIF","CLIENTE GENERICO","NO APLICA","NO APLICA","21.81","16","18","18.288"
"6","50006","00-00050006","3","22665281","[{""product_id"":""3acaa2c1-0cc9-4951-aed9-e80346"",""product"":{""product_id"":""3acaa2c1-0cc9-4951-aed9-e80346"",""product_name"":""Chocolate"",""product_description"":""Chocolate 100ml"",""product_base_price"":18,""product_category"":2,""product_items"":[{""item_id"":13,""item_count"":0.02},{""item_id"":4,""item_count"":0.13},{""item_id"":11,""item_count"":0.01}],""product_photo"":""http://localhost:8080/hrestbackend/api/images/productos/c2a5a5c4-e32a-470f-9c02-66f9b6172949.png"",""product_photo_thumb"":"""",""product_status"":1},""product_count"":1,""product_items"":[{""item_id"":13,""item_count"":0.02},{""item_id"":4,""item_count"":0.13},{""item_id"":11,""item_count"":0.01}]}]","2023-02-01 13:33:02","2023-02-01 13:33:02","1","NO CI NO RIF","CLIENTE GENERICO","NO APLICA","NO APLICA","21.81","16","18","18.288"
"7","50007","00-00050007","3","22665281","[{""product_id"":""3acaa2c1-0cc9-4951-aed9-e80346"",""product"":{""product_id"":""3acaa2c1-0cc9-4951-aed9-e80346"",""product_name"":""Chocolate"",""product_description"":""Chocolate 100ml"",""product_base_price"":18,""product_category"":2,""product_items"":[{""item_id"":13,""item_count"":0.02},{""item_id"":4,""item_count"":0.13},{""item_id"":11,""item_count"":0.01}],""product_photo"":""http://localhost:8080/hrestbackend/api/images/productos/c2a5a5c4-e32a-470f-9c02-66f9b6172949.png"",""product_photo_thumb"":"""",""product_status"":1},""product_count"":2,""product_items"":[{""item_id"":13,""item_count"":0.02},{""item_id"":4,""item_count"":0.13},{""item_id"":11,""item_count"":0.01}]}]","2023-02-01 13:56:35","2022-10-11 13:56:35","1","NO CI NO RIF","CLIENTE GENERICO","NO APLICA","NO APLICA","21.81","16","36","36.576"
"8","50008","00-00050008","5","181117948","[{""product_id"":""ba9a500f-f284-4c8b-bcd1-bac108"",""product"":{""product_id"":""ba9a500f-f284-4c8b-bcd1-bac108"",""product_name"":""Desayuno Mixto"",""product_description"":""2 Arepas de trigo acompañadas de 1 huevo, 1 porción de Carne Mechada, 1 porción de Caraotas Negras, Queso Blanco y Nata"",""product_base_price"":15.05,""product_category"":3,""product_items"":[{""item_id"":2,""item_count"":1}],""product_photo"":""http://localhost:8080/hrestbackend/api/images/productos/735a512a-9828-44c2-9b88-53d2ce7dafa0.jpg"",""product_photo_thumb"":"""",""product_status"":1},""product_count"":1,""product_items"":[{""item_id"":2,""item_count"":1}]}]","2023-02-01 13:57:54","2023-02-02 13:57:54","1","NO CI NO RIF","CLIENTE GENERICO","NO APLICA","NO APLICA","21.81","16","15.05","15.2908"
"9","50009","00-00050009","3","22665281","[{""product_id"":""ba9a500f-f284-4c8b-bcd1-bac108"",""product"":{""product_id"":""ba9a500f-f284-4c8b-bcd1-bac108"",""product_name"":""Desayuno Mixto"",""product_description"":""2 Arepas de trigo acompañadas de 1 huevo, 1 porción de Carne Mechada, 1 porción de Caraotas Negras, Queso Blanco y Nata"",""product_base_price"":15.05,""product_category"":3,""product_items"":[{""item_id"":2,""item_count"":1}],""product_photo"":""http://localhost:8080/hrestbackend/api/images/productos/735a512a-9828-44c2-9b88-53d2ce7dafa0.jpg"",""product_photo_thumb"":"""",""product_status"":1},""product_count"":1,""product_items"":[{""item_id"":2,""item_count"":1}]}]","2023-02-01 14:00:08","2023-02-01 14:00:08","1","NO CI NO RIF","CLIENTE GENERICO","NO APLICA","NO APLICA","21.81","16","15.05","15.2908"
"10","50010","00-00050010","3","22665281","[{""product_id"":""ba9a500f-f284-4c8b-bcd1-bac108"",""product"":{""product_id"":""ba9a500f-f284-4c8b-bcd1-bac108"",""product_name"":""Desayuno Mixto"",""product_description"":""2 Arepas de trigo acompañadas de 1 huevo, 1 porción de Carne Mechada, 1 porción de Caraotas Negras, Queso Blanco y Nata"",""product_base_price"":15.05,""product_category"":3,""product_items"":[{""item_id"":2,""item_count"":1}],""product_photo"":""http://localhost:8080/hrestbackend/api/images/productos/735a512a-9828-44c2-9b88-53d2ce7dafa0.jpg"",""product_photo_thumb"":"""",""product_status"":1},""product_count"":1,""product_items"":[{""item_id"":2,""item_count"":1}]}]","2023-02-01 14:01:01","2023-02-01 14:01:01","1","NO CI NO RIF","CLIENTE GENERICO","NO APLICA","NO APLICA","21.81","16","15.05","15.2908"
"11","50011","00-00050011","3","22665281","[{""product_id"":""ba9a500f-f284-4c8b-bcd1-bac108"",""product"":{""product_id"":""ba9a500f-f284-4c8b-bcd1-bac108"",""product_name"":""Desayuno Mixto"",""product_description"":""2 Arepas de trigo acompañadas de 1 huevo, 1 porción de Carne Mechada, 1 porción de Caraotas Negras, Queso Blanco y Nata"",""product_base_price"":15.05,""product_category"":3,""product_items"":[{""item_id"":2,""item_count"":1}],""product_photo"":""http://localhost:8080/hrestbackend/api/images/productos/735a512a-9828-44c2-9b88-53d2ce7dafa0.jpg"",""product_photo_thumb"":"""",""product_status"":1},""product_count"":1,""product_items"":[{""item_id"":2,""item_count"":1}]}]","2023-02-01 14:05:42","2023-02-01 14:05:42","1","NO CI NO RIF","CLIENTE GENERICO","NO APLICA","NO APLICA","21.81","16","15.05","15.2908"
"12","50012","00-00050012","5","181117948","[{""product_id"":""ba9a500f-f284-4c8b-bcd1-bac108"",""product"":{""product_id"":""ba9a500f-f284-4c8b-bcd1-bac108"",""product_name"":""Desayuno Mixto"",""product_description"":""2 Arepas de trigo acompañadas de 1 huevo, 1 porción de Carne Mechada, 1 porción de Caraotas Negras, Queso Blanco y Nata"",""product_base_price"":15.05,""product_category"":3,""product_items"":[{""item_id"":2,""item_count"":1}],""product_photo"":""http://localhost:8080/hrestbackend/api/images/productos/735a512a-9828-44c2-9b88-53d2ce7dafa0.jpg"",""product_photo_thumb"":"""",""product_status"":1},""product_count"":3,""product_items"":[{""item_id"":2,""item_count"":1}]}]","2023-02-01 14:06:05","2023-02-01 14:06:05","1","NO CI NO RIF","CLIENTE GENERICO","NO APLICA","NO APLICA","21.81","16","45.15","45.8724"
"13","50013","00-00050013","3","22665281","[{""product_id"":""ba9a500f-f284-4c8b-bcd1-bac108"",""product"":{""product_id"":""ba9a500f-f284-4c8b-bcd1-bac108"",""product_name"":""Desayuno Mixto"",""product_description"":""2 Arepas de trigo acompañadas de 1 huevo, 1 porción de Carne Mechada, 1 porción de Caraotas Negras, Queso Blanco y Nata"",""product_base_price"":15.05,""product_category"":3,""product_items"":[{""item_id"":2,""item_count"":1}],""product_photo"":""http://localhost:8080/hrestbackend/api/images/productos/735a512a-9828-44c2-9b88-53d2ce7dafa0.jpg"",""product_photo_thumb"":"""",""product_status"":1},""product_count"":1,""product_items"":[{""item_id"":2,""item_count"":1}]}]","2023-02-01 14:08:33","2023-02-01 14:08:33","1","NO CI NO RIF","CLIENTE GENERICO","NO APLICA","NO APLICA","21.81","16","15.05","15.2908"
"14","50014","00-00050014","3","22665281","[{""product_id"":""ba9a500f-f284-4c8b-bcd1-bac108"",""product"":{""product_id"":""ba9a500f-f284-4c8b-bcd1-bac108"",""product_name"":""Desayuno Mixto"",""product_description"":""2 Arepas de trigo acompañadas de 1 huevo, 1 porción de Carne Mechada, 1 porción de Caraotas Negras, Queso Blanco y Nata"",""product_base_price"":15.05,""product_category"":3,""product_items"":[{""item_id"":2,""item_count"":1}],""product_photo"":""http://localhost:8080/hrestbackend/api/images/productos/735a512a-9828-44c2-9b88-53d2ce7dafa0.jpg"",""product_photo_thumb"":"""",""product_status"":1},""product_count"":1,""product_items"":[{""item_id"":2,""item_count"":1}]}]","2023-02-01 14:10:40","2023-02-01 14:10:40","1","NO CI NO RIF","CLIENTE GENERICO","NO APLICA","NO APLICA","21.81","16","15.05","15.2908"
"15","50015","00-00050015","3","22665281","[{""product_id"":""ba9a500f-f284-4c8b-bcd1-bac108"",""product"":{""product_id"":""ba9a500f-f284-4c8b-bcd1-bac108"",""product_name"":""Desayuno Mixto"",""product_description"":""2 Arepas de trigo acompañadas de 1 huevo, 1 porción de Carne Mechada, 1 porción de Caraotas Negras, Queso Blanco y Nata"",""product_base_price"":15.05,""product_category"":3,""product_items"":[{""item_id"":2,""item_count"":1}],""product_photo"":""http://localhost:8080/hrestbackend/api/images/productos/735a512a-9828-44c2-9b88-53d2ce7dafa0.jpg"",""product_photo_thumb"":"""",""product_status"":1},""product_count"":1,""product_items"":[{""item_id"":2,""item_count"":1}]}]","2023-02-01 14:11:52","2023-02-01 14:11:52","1","NO CI NO RIF","CLIENTE GENERICO","NO APLICA","NO APLICA","21.81","16","15.05","15.2908"
"16","50016","00-00050016","1","22665281","[{""product_id"":""ba9a500f-f284-4c8b-bcd1-bac108"",""product"":{""product_id"":""ba9a500f-f284-4c8b-bcd1-bac108"",""product_name"":""Desayuno Mixto"",""product_description"":""2 Arepas de trigo acompañadas de 1 huevo, 1 porción de Carne Mechada, 1 porción de Caraotas Negras, Queso Blanco y Nata"",""product_base_price"":15.05,""product_category"":3,""product_items"":[{""item_id"":2,""item_count"":1}],""product_photo"":""http://localhost:8080/hrestbackend/api/images/productos/735a512a-9828-44c2-9b88-53d2ce7dafa0.jpg"",""product_photo_thumb"":"""",""product_status"":1},""product_count"":2,""product_items"":[{""item_id"":2,""item_count"":1}]}]","2023-02-01 14:12:56","2023-02-01 14:12:56","1","NO CI NO RIF","CLIENTE GENERICO","NO APLICA","NO APLICA","21.81","16","30.1","30.5816"
"17","50017","00-00050017","3","123","[{""product_id"":""ba9a500f-f284-4c8b-bcd1-bac108"",""product"":{""product_id"":""ba9a500f-f284-4c8b-bcd1-bac108"",""product_name"":""Desayuno Mixto"",""product_description"":""2 Arepas de trigo acompañadas de 1 huevo, 1 porción de Carne Mechada, 1 porción de Caraotas Negras, Queso Blanco y Nata"",""product_base_price"":15.05,""product_category"":3,""product_items"":[{""item_id"":2,""item_count"":1}],""product_photo"":""http://localhost:8080/hrestbackend/api/images/productos/735a512a-9828-44c2-9b88-53d2ce7dafa0.jpg"",""product_photo_thumb"":"""",""product_status"":1},""product_count"":1,""product_items"":[{""item_id"":2,""item_count"":1}]}]","2023-02-01 14:15:13","2023-02-01 14:15:13","1","NO CI NO RIF","CLIENTE GENERICO","NO APLICA","NO APLICA","21.81","16","15.05","15.2908"
"18","50018","00-00050018","3","22665281","[{""product_id"":""ba9a500f-f284-4c8b-bcd1-bac108"",""product"":{""product_id"":""ba9a500f-f284-4c8b-bcd1-bac108"",""product_name"":""Desayuno Mixto"",""product_description"":""2 Arepas de trigo acompañadas de 1 huevo, 1 porción de Carne Mechada, 1 porción de Caraotas Negras, Queso Blanco y Nata"",""product_base_price"":15.05,""product_category"":3,""product_items"":[{""item_id"":2,""item_count"":1}],""product_photo"":""http://localhost:8080/hrestbackend/api/images/productos/735a512a-9828-44c2-9b88-53d2ce7dafa0.jpg"",""product_photo_thumb"":"""",""product_status"":1},""product_count"":1,""product_items"":[{""item_id"":2,""item_count"":1}]}]","2023-02-01 14:16:49","2023-02-01 14:16:49","1","NO CI NO RIF","CLIENTE GENERICO","NO APLICA","NO APLICA","21.81","16","15.05","15.2908"
"19","50019","00-00050019","4","22665281","[{""product_id"":""b6715d73-8ffa-48aa-9165-c07995"",""product"":{""product_id"":""b6715d73-8ffa-48aa-9165-c07995"",""product_name"":""Trucha Al Ajillo"",""product_description"":""Trucha en salsa de Ajo y Mantequilla con 2 contornos(arroz y papas fritas)"",""product_base_price"":172,""product_category"":1,""product_items"":[{""item_id"":1,""item_count"":1},{""item_id"":30,""item_count"":0.25}],""product_photo"":""http://localhost:8080/hrestbackend/api/images/productos/7dae8051-2d1f-4178-8fce-c7dcd9411328.png"",""product_photo_thumb"":"""",""product_status"":1},""product_count"":1,""product_items"":[{""item_id"":1,""item_count"":1},{""item_id"":30,""item_count"":0.25}]}]","2023-02-01 14:18:02","2023-02-01 14:18:02","1","NO CI NO RIF","CLIENTE GENERICO","NO APLICA","NO APLICA","21.81","16","172","174.752"
"20","50020","00-00050020","2","22665281","[{""product_id"":""b6715d73-8ffa-48aa-9165-c07995"",""product"":{""product_id"":""b6715d73-8ffa-48aa-9165-c07995"",""product_name"":""Trucha Al Ajillo"",""product_description"":""Trucha en salsa de Ajo y Mantequilla con 2 contornos(arroz y papas fritas)"",""product_base_price"":172,""product_category"":1,""product_items"":[{""item_id"":1,""item_count"":1},{""item_id"":30,""item_count"":0.25}],""product_photo"":""http://localhost:8080/hrestbackend/api/images/productos/7dae8051-2d1f-4178-8fce-c7dcd9411328.png"",""product_photo_thumb"":"""",""product_status"":1},""product_count"":1,""product_items"":[{""item_id"":1,""item_count"":1},{""item_id"":30,""item_count"":0.25}]}]","2023-02-01 14:18:54","2023-02-01 14:18:54","1","NO CI NO RIF","CLIENTE GENERICO","NO APLICA","NO APLICA","21.81","16","172","174.752"
"21","50021","00-00050021","5","22665281","[{""product_id"":""b6715d73-8ffa-48aa-9165-c07995"",""product"":{""product_id"":""b6715d73-8ffa-48aa-9165-c07995"",""product_name"":""Trucha Al Ajillo"",""product_description"":""Trucha en salsa de Ajo y Mantequilla con 2 contornos(arroz y papas fritas)"",""product_base_price"":172,""product_category"":1,""product_items"":[{""item_id"":1,""item_count"":1},{""item_id"":30,""item_count"":0.25}],""product_photo"":""http://localhost:8080/hrestbackend/api/images/productos/7dae8051-2d1f-4178-8fce-c7dcd9411328.png"",""product_photo_thumb"":"""",""product_status"":1},""product_count"":1,""product_items"":[{""item_id"":1,""item_count"":1},{""item_id"":30,""item_count"":0.25}]}]","2023-02-01 14:19:24","2022-10-13 04:17:18","1","NO CI NO RIF","CLIENTE GENERICO","NO APLICA","NO APLICA","21.81","16","172","174.752"
"22","50022","00-00050022","4","22665281","[{""product_id"":""b6715d73-8ffa-48aa-9165-c07995"",""product"":{""product_id"":""b6715d73-8ffa-48aa-9165-c07995"",""product_name"":""Trucha Al Ajillo"",""product_description"":""Trucha en salsa de Ajo y Mantequilla con 2 contornos(arroz y papas fritas)"",""product_base_price"":172,""product_category"":1,""product_items"":[{""item_id"":1,""item_count"":1},{""item_id"":30,""item_count"":0.25}],""product_photo"":""http://localhost:8080/hrestbackend/api/images/productos/7dae8051-2d1f-4178-8fce-c7dcd9411328.png"",""product_photo_thumb"":"""",""product_status"":1},""product_count"":2,""product_items"":[{""item_id"":1,""item_count"":1},{""item_id"":30,""item_count"":0.25}]}]","2023-02-01 14:20:06","2023-02-01 14:20:06","1","NO CI NO RIF","CLIENTE GENERICO","NO APLICA","NO APLICA","21.81","16","344","349.504"
"23","50023","00-00050023","1","22665281","[{""product_id"":""b6715d73-8ffa-48aa-9165-c07995"",""product"":{""product_id"":""b6715d73-8ffa-48aa-9165-c07995"",""product_name"":""Trucha Al Ajillo"",""product_description"":""Trucha en salsa de Ajo y Mantequilla con 2 contornos(arroz y papas fritas)"",""product_base_price"":172,""product_category"":1,""product_items"":[{""item_id"":1,""item_count"":1},{""item_id"":30,""item_count"":0.25}],""product_photo"":""http://localhost:8080/hrestbackend/api/images/productos/7dae8051-2d1f-4178-8fce-c7dcd9411328.png"",""product_photo_thumb"":"""",""product_status"":1},""product_count"":1,""product_items"":[{""item_id"":1,""item_count"":1},{""item_id"":30,""item_count"":0.25}]}]","2023-02-01 14:35:10","2023-02-01 14:35:19","1","NO CI NO RIF","CLIENTE GENERICO","NO APLICA","NO APLICA","21.81","16","172","174.752"
"24","50024","00-00050024","5","22665281","[{""product_id"":""3acaa2c1-0cc9-4951-aed9-e80346"",""product"":{""product_id"":""3acaa2c1-0cc9-4951-aed9-e80346"",""product_name"":""Chocolate"",""product_description"":""Chocolate 100ml"",""product_base_price"":18,""product_category"":2,""product_items"":[{""item_id"":13,""item_count"":0.02},{""item_id"":4,""item_count"":0.13},{""item_id"":11,""item_count"":0.01}],""product_photo"":""http://localhost:8080/hrestbackend/api/images/productos/c2a5a5c4-e32a-470f-9c02-66f9b6172949.png"",""product_photo_thumb"":"""",""product_status"":1},""product_count"":1,""product_items"":[{""item_id"":13,""item_count"":0.02},{""item_id"":4,""item_count"":0.13},{""item_id"":11,""item_count"":0.01}]}]","2023-02-02 02:16:28","2023-02-02 02:16:28","1","NO CI NO RIF","CLIENTE GENERICO","NO APLICA","NO APLICA","21.84","16","18","18.288"
